L1-dcache-load-misses,L1-dcache-loads,L1-dcache-prefetch-misses,L1-dcache-store-misses,L1-dcache-stores,L1-icache-load-misses,LLC-loads,LLC-prefetches,LLC-stores,branch-instructions,branch-load-misses,branch-loads,branch-misses,bus-cycles,cache-misses,cache-references,cpu-cycles,dTLB-load-misses,dTLB-loads,dTLB-store-misses,dTLB-stores,iTLB-load-misses,iTLB-loads,instructions,ref-cycles,stalled-cycles-frontend,class
"1,119,222","87,926,484","1,043,165","4,903","25,751,352","59,469","8,945","30,687","4,232","49,789,017","7,685,839","50,455,757","7,886,139","9,858,644","69,637","17,139","337,627,840","16,556","91,260,226","1,211","25,575,611","1,949",191,"196,881,154","300,352,090","76,432,996",yes
"1,123,020","96,163,086","1,107,903","4,198","25,738,341","6,437","7,727","24,963","1,628","51,464,455","8,257,711","52,054,069","8,125,156","9,844,820","1,120","13,042","354,627,943","3,354","96,397,954",274,"26,084,246",485,200,"200,282,092","306,308,034","76,319,524",yes
"1,118,275","96,069,790","1,097,494","4,811","26,451,199","7,183","8,587","31,986","1,609","51,553,178","8,245,983","51,264,268","8,141,169","9,814,874",968,"12,807","353,160,407","3,284","96,098,384",272,"26,127,294",477,189,"200,790,789","305,352,605","74,351,280",yes
"1,121,089","95,507,856","1,100,315","4,837","27,192,605","6,541","7,630","22,503","1,550","51,693,771","8,190,372","51,357,604","8,135,050","9,848,173","1,628","14,243","352,139,361","3,425","94,128,726",279,"25,803,097",467,199,"202,828,734","306,172,910","75,247,434",yes
"1,130,473","96,942,359","1,090,079","4,779","26,919,249","6,549","6,044","26,008","1,590","52,222,798","8,258,693","52,236,027","8,255,999","9,884,343",242,"11,578","351,282,309","3,271","95,625,085",280,"26,179,743",481,194,"201,688,992","306,104,705","75,755,796",yes
"1,113,843","94,958,481","1,096,233","4,249","26,533,938","6,050","6,708","25,966","1,618","52,351,212","8,211,044","52,178,471","8,261,043","9,872,696",761,"10,068","352,326,079","3,209","94,489,869",281,"25,929,643",474,196,"200,058,151","308,225,633","76,501,810",yes
"1,100,480","94,395,706","1,086,663","4,223","26,718,868","6,532","7,536","23,270","1,404","51,578,144","8,203,485","51,236,174","8,094,094","9,827,466",521,"10,803","350,948,667","3,240","95,243,758",281,"26,266,949",469,215,"199,404,816","304,278,184","75,172,206",yes
"1,128,732","95,429,612","1,101,088","4,175","26,487,866","6,234","8,611","28,589","1,513","51,601,847","8,250,680","52,308,893","8,145,021","9,858,485",837,"9,229","353,394,991","3,298","95,369,924",277,"26,326,735",482,197,"201,291,386","305,940,739","76,216,905",yes
"1,124,122","94,993,150","1,095,085","4,297","26,894,213","7,029","6,481","24,667","1,485","51,849,717","8,222,955","52,246,888","8,157,716","9,808,618",683,"12,005","355,230,567","3,258","95,329,236",271,"26,363,009",475,212,"202,494,553","307,471,280","76,420,715",yes
"1,112,530","93,352,162","1,094,621","4,545","26,176,018","5,652","7,091","27,498","1,403","51,534,756","8,237,060","51,293,357","8,078,520","9,936,518",217,"9,845","352,277,157","3,170","95,063,430",278,"26,262,556",486,234,"201,436,193","305,433,976","76,835,592",yes
"1,106,755","94,360,480","1,091,747","4,165","26,793,396","6,643","15,996","42,441","1,473","51,046,713","8,196,623","51,161,539","8,117,425","9,907,990",257,"10,142","352,473,598","3,219","96,106,348",277,"26,328,404",484,230,"201,092,353","303,141,780","75,991,663",yes
